epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.213,1.3783,11.0885,1.84176,0.86946,0.68816,0.80513,0.68761,1.18939,5.7496,1.6495,0.000655556,0.000655556,0.000655556
2,406.8,1.42614,1.43965,1.90568,0.0706,0.15498,0.02466,0.0086,4.80213,615.114,8.57162,0.00125677,0.00125677,0.00125677
3,610.996,1.35496,1.15665,1.88162,0.0001,0.02952,5e-05,1e-05,6.72148,25.449,9.18687,0.00179199,0.00179199,0.00179199
4,822.202,1.28976,0.92138,1.84311,0.0001,0.02952,5e-05,1e-05,8.07726,28.0785,13.227,0.001703,0.001703,0.001703
5,1026.81,1.13102,0.78104,1.80691,0.93904,0.9262,0.97988,0.88191,0.92764,0.71484,1.6621,0.001604,0.001604,0.001604
6,1230.87,1.05709,0.71918,1.81094,0.92167,0.93358,0.95837,0.88648,0.72993,1.05252,1.65426,0.001505,0.001505,0.001505
7,1434.3,1.0024,0.74728,1.79229,0.94108,0.94309,0.98598,0.94044,0.61447,0.60193,1.58263,0.001406,0.001406,0.001406
8,1637.23,0.97696,0.67847,1.79223,0.97945,0.95941,0.99123,0.92919,0.67725,0.51499,1.58205,0.001307,0.001307,0.001307
9,1841.07,0.87343,0.62434,1.75785,0.97004,0.95591,0.99075,0.94778,0.5962,0.49251,1.61394,0.001208,0.001208,0.001208
10,2045.19,0.82082,0.61765,1.72965,0.9707,0.9631,0.9921,0.97021,0.49943,0.40756,1.57215,0.001109,0.001109,0.001109
11,2244.92,0.5697,0.43406,1.57549,0.98074,0.92989,0.99002,0.97122,0.49541,0.42294,1.57842,0.00101,0.00101,0.00101
12,2445.99,0.52383,0.42716,1.58115,0.95225,0.95657,0.98951,0.98489,0.42024,0.39331,1.5754,0.000911,0.000911,0.000911
13,2647.42,0.48034,0.39354,1.56514,0.95894,0.97786,0.99156,0.98796,0.40011,0.35107,1.57463,0.000812,0.000812,0.000812
14,2848.86,0.46093,0.38097,1.5542,0.97095,0.98672,0.99368,0.99181,0.37323,0.3163,1.57172,0.000713,0.000713,0.000713
15,3050.48,0.411,0.33826,1.55414,0.99233,0.95512,0.99289,0.99067,0.34311,0.32247,1.5643,0.000614,0.000614,0.000614
16,3252.39,0.40051,0.33028,1.55547,0.9675,0.98856,0.99373,0.99373,0.31765,0.27427,1.54778,0.000515,0.000515,0.000515
17,3454.12,0.36608,0.30876,1.55097,0.98867,0.96563,0.99344,0.99331,0.30546,0.2706,1.55585,0.000416,0.000416,0.000416
18,3655.87,0.34877,0.28664,1.53439,0.985,0.96952,0.99288,0.99288,0.27713,0.2558,1.55568,0.000317,0.000317,0.000317
19,3857.87,0.32032,0.27214,1.54018,0.98515,0.97908,0.9939,0.9939,0.26094,0.24457,1.54213,0.000218,0.000218,0.000218
20,4060.09,0.29996,0.25047,1.53705,0.97743,0.98524,0.99403,0.99392,0.22951,0.21961,1.5419,0.000119,0.000119,0.000119
