epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,953.686,0.91815,0.78181,1.01558,0.60979,0.59455,0.62264,0.38174,1.46437,1.5468,1.51067,0.0702439,0.00330623,0.00330623
2,2673.86,0.83903,0.61279,1.01002,0.93374,0.77455,0.88103,0.64083,1.10402,4.53006,1.27647,0.0401124,0.0065081,0.0065081
3,3591.36,0.78204,0.54466,0.98916,0.9512,0.95679,0.98395,0.79478,0.78636,0.56263,1.04683,0.00984898,0.00957797,0.00957797
4,4494.41,0.74065,0.50718,0.98014,0.96924,0.98182,0.9886,0.87033,0.57083,0.79868,0.94096,0.009406,0.009406,0.009406
5,5407.82,0.68414,0.48076,0.96595,0.9693,0.97582,0.99298,0.87789,0.58692,0.43834,0.94402,0.009208,0.009208,0.009208
6,6322.74,0.64076,0.44717,0.94529,0.96421,0.93455,0.9613,0.84153,0.55554,4.28661,0.95425,0.00901,0.00901,0.00901
7,7227.86,0.62026,0.43724,0.93914,0.98917,0.96545,0.98516,0.87934,0.52229,0.83879,0.91619,0.008812,0.008812,0.008812
8,8134.66,0.59824,0.41713,0.92648,0.9818,0.88261,0.9547,0.86864,0.4767,4.19079,0.91015,0.008614,0.008614,0.008614
9,9046.67,0.58082,0.40846,0.92372,0.97195,0.84364,0.91486,0.79911,0.60834,0.58025,0.96232,0.008416,0.008416,0.008416
10,9956.5,0.52554,0.38079,0.90229,0.99192,1,0.99495,0.92174,0.44713,0.34167,0.88517,0.008218,0.008218,0.008218
11,10867.5,0.5246,0.36553,0.8995,0.98552,0.99818,0.99489,0.92104,0.43099,0.33419,0.88536,0.00802,0.00802,0.00802
12,11784.4,0.52696,0.36903,0.90255,0.99982,0.99818,0.995,0.9167,0.43577,0.33051,0.86727,0.007822,0.007822,0.007822
13,12705.6,0.5128,0.35913,0.89913,0.99298,0.82545,0.87102,0.82963,0.38529,0.60964,0.85218,0.007624,0.007624,0.007624
14,13626.1,0.49804,0.35956,0.889,0.98249,0.99636,0.99473,0.95226,0.37485,0.32144,0.86354,0.007426,0.007426,0.007426
15,14554.9,0.48219,0.35762,0.89487,0.98168,0.98364,0.98625,0.92842,0.37555,1.61896,0.85787,0.007228,0.007228,0.007228
16,15474.5,0.45537,0.31943,0.87529,0.99615,1,0.995,0.95912,0.34829,0.27765,0.8459,0.00703,0.00703,0.00703
17,16394.7,0.46677,0.326,0.88335,0.99507,1,0.99498,0.95565,0.34711,0.28951,0.85716,0.006832,0.006832,0.006832
18,17316.1,0.47576,0.32872,0.88414,0.9994,1,0.995,0.95831,0.34641,0.26946,0.84825,0.006634,0.006634,0.006634
19,18238.3,0.46169,0.33727,0.88525,0.99278,1,0.99496,0.95677,0.34675,0.29103,0.84336,0.006436,0.006436,0.006436
20,19159.3,0.43293,0.31226,0.87182,0.99585,1,0.995,0.95969,0.33213,0.30199,0.84187,0.006238,0.006238,0.006238
21,20070.3,0.43321,0.314,0.87641,0.99972,1,0.995,0.96945,0.3236,0.26629,0.84008,0.00604,0.00604,0.00604
22,20990,0.42093,0.3009,0.86957,0.84103,0.52906,0.64161,0.54015,1.26745,1.31792,1.46525,0.005842,0.005842,0.005842
23,21905.3,0.41383,0.29493,0.86863,0.99967,1,0.995,0.96626,0.31512,0.24779,0.82993,0.005644,0.005644,0.005644
24,22825.6,0.42365,0.29478,0.87544,0.99981,1,0.995,0.96669,0.32636,0.26408,0.84416,0.005446,0.005446,0.005446
25,23744.4,0.41614,0.29068,0.86657,0.99965,1,0.995,0.97148,0.32248,0.25222,0.83144,0.005248,0.005248,0.005248
26,24670.4,0.40253,0.28743,0.86589,0.9979,1,0.995,0.97666,0.28521,0.24397,0.81977,0.00505,0.00505,0.00505
27,25593.2,0.37838,0.27426,0.85987,0.99958,0.99818,0.995,0.97523,0.29841,0.22947,0.82276,0.004852,0.004852,0.004852
28,26515.9,0.38592,0.26891,0.86539,0.99939,1,0.995,0.98362,0.27361,0.22401,0.81425,0.004654,0.004654,0.004654
29,27437.6,0.37999,0.26825,0.85132,0.99934,0.99636,0.995,0.97784,0.29681,0.23206,0.8229,0.004456,0.004456,0.004456
