epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,351.383,0.81816,0.7732,0.95657,0.88864,0.65091,0.68059,0.53304,1.48312,5.07724,1.56788,0.0702439,0.00330623,0.00330623
2,699.009,0.82538,0.63202,0.97695,0.05297,0.75455,0.04749,0.03448,1.05506,21.2975,1.54606,0.0401124,0.0065081,0.0065081
3,1041.7,0.75,0.5605,0.94874,0.9533,0.96909,0.98845,0.80429,0.72275,1.2,0.96678,0.00984898,0.00957797,0.00957797
4,1378.29,0.70556,0.51515,0.94212,0.91255,0.66545,0.78594,0.64517,0.78411,1.20569,1.03281,0.009406,0.009406,0.009406
5,1714.72,0.65988,0.48783,0.93002,0.40792,0.66141,0.56798,0.48459,0.74161,3.13463,0.98788,0.009208,0.009208,0.009208
6,2051.1,0.61973,0.44234,0.91265,0.98532,0.99818,0.9944,0.85825,0.54728,0.46261,0.88427,0.00901,0.00901,0.00901
7,2387.02,0.58466,0.42282,0.90389,0.99456,0.99758,0.995,0.91982,0.45338,0.37634,0.85201,0.008812,0.008812,0.008812
8,2723.38,0.56152,0.40134,0.8945,0.9819,0.98652,0.99281,0.91211,0.44364,0.38458,0.85879,0.008614,0.008614,0.008614
9,3060.76,0.54588,0.38775,0.89668,0.97286,0.97767,0.9931,0.90823,0.45753,0.38705,0.85675,0.008416,0.008416,0.008416
10,3401.08,0.52626,0.37833,0.88337,0.99351,1,0.99483,0.9196,0.43785,0.36776,0.8546,0.008218,0.008218,0.008218
11,3738.08,0.50056,0.36169,0.88007,0.995,0.97091,0.99367,0.93032,0.38765,0.59362,0.8518,0.00802,0.00802,0.00802
12,4075.03,0.52139,0.37144,0.88477,0.99738,1,0.995,0.94348,0.3879,0.35633,0.83899,0.007822,0.007822,0.007822
13,4412.78,0.50899,0.36853,0.87591,0.97462,1,0.9946,0.94211,0.36913,0.32375,0.83805,0.007624,0.007624,0.007624
14,4751.4,0.46919,0.34826,0.86477,0.99637,0.99932,0.995,0.9477,0.39001,0.31552,0.83577,0.007426,0.007426,0.007426
15,5087.79,0.46905,0.3335,0.86887,0.99633,0.98637,0.99491,0.94447,0.37121,0.3228,0.82881,0.007228,0.007228,0.007228
16,5425.56,0.447,0.31813,0.85813,0.99268,0.98634,0.99475,0.95915,0.34603,0.30401,0.82488,0.00703,0.00703,0.00703
17,5762.48,0.43663,0.31897,0.86037,0.9998,1,0.995,0.96716,0.33601,0.27177,0.82298,0.006832,0.006832,0.006832
18,6100.57,0.44158,0.31626,0.86186,0.99968,1,0.995,0.95377,0.35675,0.28579,0.82922,0.006634,0.006634,0.006634
19,6439.31,0.44368,0.31557,0.86595,0.98912,0.99209,0.99487,0.95196,0.34123,0.31411,0.82092,0.006436,0.006436,0.006436
20,6776.54,0.42123,0.3078,0.85327,0.99962,1,0.995,0.97022,0.3046,0.2483,0.80953,0.006238,0.006238,0.006238
21,7114.19,0.41544,0.30605,0.85305,0.99984,1,0.995,0.97479,0.29981,0.26063,0.80454,0.00604,0.00604,0.00604
22,7450.7,0.41079,0.29825,0.84916,0.999,1,0.995,0.9722,0.30307,0.25497,0.81012,0.005842,0.005842,0.005842
23,7787.47,0.39877,0.28714,0.85019,0.99961,1,0.995,0.96377,0.31521,0.25264,0.82157,0.005644,0.005644,0.005644
24,8124.49,0.39524,0.2893,0.85186,0.96204,0.96779,0.99135,0.95202,0.35273,0.36699,0.84605,0.005446,0.005446,0.005446
25,8461.44,0.39847,0.28585,0.85107,0.99611,1,0.99407,0.97389,0.29564,0.24973,0.81746,0.005248,0.005248,0.005248
26,8798.66,0.39983,0.28571,0.85285,0.99988,1,0.995,0.97117,0.28956,0.24497,0.80483,0.00505,0.00505,0.00505
27,9140.01,0.37265,0.2726,0.84589,0.99986,1,0.995,0.97804,0.28334,0.23015,0.81,0.004852,0.004852,0.004852
28,9478.59,0.38678,0.26932,0.85137,0.99977,1,0.995,0.9796,0.28059,0.23066,0.81213,0.004654,0.004654,0.004654
29,9816.45,0.3679,0.26472,0.83783,0.9981,1,0.995,0.97059,0.29293,0.26721,0.80565,0.004456,0.004456,0.004456
30,10153.8,0.36001,0.25418,0.83447,0.99989,1,0.995,0.97415,0.29103,0.23078,0.80304,0.004258,0.004258,0.004258
31,10490.1,0.37239,0.26509,0.84494,0.99969,1,0.995,0.96984,0.26768,0.23241,0.79995,0.00406,0.00406,0.00406
32,10826.7,0.35468,0.2535,0.83879,0.99989,1,0.995,0.98363,0.2587,0.21351,0.79443,0.003862,0.003862,0.003862
33,11163.7,0.34327,0.25065,0.83738,0.99986,1,0.995,0.98338,0.25171,0.20951,0.80018,0.003664,0.003664,0.003664
34,11500.4,0.34499,0.25369,0.83917,0.99985,1,0.995,0.98239,0.25791,0.20958,0.79608,0.003466,0.003466,0.003466
35,11836.1,0.34225,0.24596,0.83478,0.99965,1,0.995,0.97822,0.24697,0.20753,0.79495,0.003268,0.003268,0.003268
36,12173.1,0.34827,0.24505,0.84053,0.99982,1,0.995,0.98203,0.25951,0.2105,0.79704,0.00307,0.00307,0.00307
37,12510,0.32204,0.23977,0.83425,0.99986,1,0.995,0.9831,0.25928,0.20523,0.79521,0.002872,0.002872,0.002872
38,12846.7,0.31464,0.23152,0.82966,0.99879,1,0.995,0.98453,0.24539,0.20052,0.79191,0.002674,0.002674,0.002674
39,13183.1,0.30893,0.22551,0.83298,0.99989,1,0.995,0.98773,0.22702,0.19281,0.78937,0.002476,0.002476,0.002476
40,13519.8,0.30376,0.21735,0.82912,0.99985,1,0.995,0.98893,0.22886,0.18113,0.78841,0.002278,0.002278,0.002278
41,13854.6,0.25336,0.19637,0.78359,0.99987,1,0.995,0.98599,0.23611,0.18931,0.79052,0.00208,0.00208,0.00208
42,14189.5,0.2492,0.19153,0.78688,0.99988,1,0.995,0.98944,0.20679,0.17428,0.78724,0.001882,0.001882,0.001882
43,14524.2,0.24024,0.18567,0.78332,0.99988,1,0.995,0.99044,0.20649,0.17129,0.78611,0.001684,0.001684,0.001684
44,14859.2,0.22538,0.17765,0.78284,0.99989,1,0.995,0.98999,0.20616,0.16721,0.78314,0.001486,0.001486,0.001486
45,15194.6,0.22071,0.17195,0.78826,0.99989,1,0.995,0.99218,0.19139,0.16224,0.782,0.001288,0.001288,0.001288
46,15529.8,0.21663,0.16959,0.78435,0.99973,1,0.995,0.99146,0.1928,0.15851,0.78276,0.00109,0.00109,0.00109
47,15864.3,0.20171,0.15912,0.77992,0.99989,1,0.995,0.99214,0.17574,0.14655,0.77886,0.000892,0.000892,0.000892
