epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.855,0.60457,1.1531,0.91142,0.00364,1,0.27003,0.25328,0.34332,2.90399,0.77948,0.000657005,0.000657005,0.000657005
2,419.136,0.50141,0.66179,0.88076,0.97723,0.87238,0.95033,0.80738,0.66376,1.03523,0.90812,0.00125815,0.00125815,0.00125815
3,628.707,0.48249,0.54233,0.87642,0.9994,1,0.995,0.91996,0.39064,0.47816,0.78813,0.00179329,0.00179329,0.00179329
4,840.132,0.47991,0.47658,0.88147,0.9995,1,0.995,0.96045,0.30465,0.39409,0.77377,0.001703,0.001703,0.001703
5,1051.44,0.43683,0.41825,0.86252,0.99975,1,0.995,0.94925,0.31772,0.33532,0.77092,0.001604,0.001604,0.001604
6,1263.75,0.41393,0.38892,0.86548,0.99956,1,0.995,0.95936,0.28928,0.31624,0.77112,0.001505,0.001505,0.001505
7,1476.92,0.39246,0.35455,0.85354,0.99974,1,0.995,0.9509,0.29474,0.2947,0.76427,0.001406,0.001406,0.001406
8,1688.61,0.37547,0.32469,0.85136,0.99972,1,0.995,0.98478,0.2247,0.24308,0.75105,0.001307,0.001307,0.001307
9,1901.03,0.35362,0.31608,0.84726,0.9997,1,0.995,0.97244,0.24941,0.25233,0.76208,0.001208,0.001208,0.001208
10,2111.3,0.34188,0.30215,0.84324,0.99977,1,0.995,0.98204,0.22754,0.21729,0.7535,0.001109,0.001109,0.001109
11,2317.64,0.26237,0.25587,0.78788,0.99976,1,0.995,0.9848,0.23158,0.23479,0.7571,0.00101,0.00101,0.00101
12,2525.15,0.25374,0.24804,0.78698,0.99977,1,0.995,0.98635,0.22454,0.21865,0.75639,0.000911,0.000911,0.000911
13,2731.14,0.24366,0.23583,0.78596,0.99974,1,0.995,0.98666,0.19372,0.19643,0.75467,0.000812,0.000812,0.000812
14,2938.28,0.23095,0.22001,0.77791,0.99976,1,0.995,0.99006,0.20266,0.20078,0.75387,0.000713,0.000713,0.000713
15,3144.65,0.21658,0.207,0.77962,0.99976,1,0.995,0.99271,0.1859,0.18416,0.75127,0.000614,0.000614,0.000614
16,3352.12,0.19803,0.19639,0.77664,0.99978,1,0.995,0.99383,0.15955,0.165,0.7506,0.000515,0.000515,0.000515
17,3558.54,0.18158,0.17924,0.76914,0.99977,1,0.995,0.99402,0.15421,0.1541,0.74881,0.000416,0.000416,0.000416
18,3765.21,0.16343,0.16575,0.7725,0.99978,1,0.995,0.9948,0.13585,0.14087,0.74779,0.000317,0.000317,0.000317
19,3971.63,0.15754,0.1601,0.77132,0.99978,1,0.995,0.995,0.12761,0.13404,0.74621,0.000218,0.000218,0.000218
20,4178.43,0.14495,0.14823,0.7719,0.99978,1,0.995,0.99479,0.11997,0.12724,0.74539,0.000119,0.000119,0.000119
