epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.849,0.56546,1.16461,0.90231,0.00349,1,0.44886,0.35103,0.29062,2.99466,0.71944,0.000657143,0.000657143,0.000657143
1,182.182,0.65081,1.65086,0.88838,0.00333,1,0.85236,0.73974,0.40373,2.8974,0.74132,0.000657143,0.000657143,0.000657143
2,485.38,0.47971,0.62999,0.87933,0.99944,1,0.995,0.97365,0.26815,0.67729,0.7038,0.00125828,0.00125828,0.00125828
2,358.622,0.52798,0.76107,0.88098,0.99936,1,0.995,0.93584,0.35103,0.98675,0.72211,0.00125828,0.00125828,0.00125828
3,530.14,0.5226,0.62285,0.89286,1,0.99979,0.995,0.95241,0.30444,0.59256,0.72168,0.00179342,0.00179342,0.00179342
3,775.946,0.48947,0.53083,0.88704,0.99976,1,0.995,0.95016,0.32317,0.40735,0.71778,0.00179342,0.00179342,0.00179342
4,701.421,0.45401,0.49421,0.86924,0.99979,1,0.995,0.95173,0.29088,0.43886,0.70954,0.001703,0.001703,0.001703
4,1063.31,0.44886,0.44449,0.86985,0.99973,1,0.995,0.97536,0.27972,0.3591,0.71359,0.001703,0.001703,0.001703
5,874.595,0.43883,0.44008,0.86366,0.99976,1,0.995,0.98454,0.21549,0.30473,0.70033,0.001604,0.001604,0.001604
6,1047.47,0.41089,0.39139,0.86081,0.99975,1,0.995,0.98395,0.23335,0.29874,0.70542,0.001505,0.001505,0.001505
5,1356.87,0.42849,0.402,0.86917,0.99976,1,0.995,0.98748,0.22034,0.27457,0.701,0.001604,0.001604,0.001604
7,1219.5,0.38934,0.35927,0.85438,0.99977,1,0.995,0.99124,0.20045,0.24146,0.69812,0.001406,0.001406,0.001406
8,1391.75,0.37224,0.34303,0.85652,0.99978,1,0.995,0.9947,0.18141,0.22711,0.70005,0.001307,0.001307,0.001307
6,1651.58,0.40231,0.36778,0.8578,0.99978,1,0.995,0.98852,0.22833,0.26037,0.7051,0.001505,0.001505,0.001505
